"row_id","athlete_id","year","number_races_run","personal_record","season_record","consistency","days_since_sr","all_american"
"61",5355,2021,5,1494.9,1494.9,7.22844381592606,7,0
"62",5371,2021,5,1535,1535,28.3120045210508,7,0
"63",5386,2021,6,1546.4,1546.4,23.822794872885,36,0
"64",5406,2021,5,1554.3,1554.3,47.297188077094,7,0
"65",5616,2021,5,1493.9,1493.9,40.4869559240998,35,0
"66",6245,2021,7,1598.2,1598.2,63.1417101095271,7,0
"67",6743,2021,5,1500,1522,14.4480679215826,21,1
"68",6744,2021,6,1505,1509,10.2164083708513,7,0
"69",6750,2021,6,1530,1549.7,32.6256321777831,50,0
"70",6751,2021,5,1510,1548,21.3813522075247,35,0
"71",6754,2021,6,1502,1506.9,18.0158957590234,50,0
"72",6760,2021,5,1532,1534.6,30.2810171559676,50,0
"73",6762,2021,6,1499,1499,21.2008696755581,50,0
"74",6763,2021,4,1562,1600.9,16.1677319236668,35,0
"75",6769,2021,5,1523,1523,24.6306084983704,64,0
"76",6774,2021,5,1555,1579.7,22.2057847193023,35,0
"77",6778,2021,6,1538.4,1538.4,30.2232112787506,50,0
"78",8906,2021,6,1499,1499,55.7972943390229,35,0
"79",9063,2021,7,1542.8,1542.8,76.9385313090912,7,0
"80",9695,2021,6,1457,1474.1,21.7025856114479,7,1
"81",9698,2021,4,1479.5,1479.5,31.9398164521964,21,1
"82",9701,2021,6,1504,1504,26.4582690287932,7,0
"83",9702,2021,6,1504.4,1504.4,27.6066668679063,7,0
"84",9703,2021,3,1571,1590.8,8.60000000000002,36,0
"85",9705,2021,5,1545,1626.4,17.3602304132174,21,0
"86",9708,2021,4,1505.6,1505.6,25.0906855227194,7,0
"87",10429,2021,4,1473,1479,11.9231800381535,63,1
"88",10435,2021,5,1497.4,1497.4,16.6426440207078,35,1
"89",11466,2021,6,1463.7,1463.7,34.0986451343745,35,1
"90",11483,2021,7,1482,1482,27.1267190955502,35,0
"91",13034,2021,7,1495,1495,40.4765843118095,57,0
"92",13427,2021,5,1478.9,1478.9,27.2950544971062,35,0
"93",13430,2021,6,1510.1,1510.1,47.8143429201834,49,0
"94",13438,2021,5,1477.2,1477.2,21.9925987550358,50,0
"95",13452,2021,6,1562.3,1562.3,47.2748135903253,35,0
"96",13453,2021,5,1584.3,1584.3,54.3666487839742,35,0
"97",13462,2021,5,1526,1526,47.558242187869,49,0
"98",13467,2021,6,1566.3,1566.3,38.9224728002845,7,0
"99",13479,2021,5,1591.8,1591.8,14.3760912629268,20,0
"100",13480,2021,5,1582,1582,40.7759349984767,35,0
"101",13699,2021,5,1490.7,1490.7,41.0732949196379,7,0
"102",13700,2021,7,1488.5,1488.5,40.2902800519761,7,0
"103",13701,2021,7,1485.8,1485.8,33.9453318669233,7,0
"104",13765,2021,6,1499.2,1499.2,17.1638457229142,36,0
"105",13772,2021,7,1496.8,1496.8,45.7762151668309,7,0
"106",13787,2021,6,1519.3,1519.3,21.3771466758312,7,0
"107",13799,2021,6,1485.2,1485.2,22.2476425717423,7,0
"108",13801,2021,4,1491.7,1491.7,24.7976309352325,7,0
"109",13804,2021,6,1540,1550.6,30.9380025211713,21,0
"110",13820,2021,6,1556,1564,62.6345719231799,63,0
"111",13887,2021,4,1496.9,1496.9,33.6878594600488,7,0
"112",15828,2021,6,1516,1516.8,22.4483156383725,7,0
"113",15988,2021,7,1523.6,1523.6,13.3436726578555,35,0
"114",15990,2021,7,1527,1533.9,13.0495363902324,35,0
"115",15994,2021,6,1470.2,1470.2,25.1285017460253,50,1
"116",15997,2021,6,1539,1539,13.1484751967671,35,0
